TargetID	DrugID	Highest_status	MOA
T71390	D07OAC	Investigative	Inhibitor
T70309	D07OAC	Investigative	Inhibitor
T97071	D0Y6UB	Investigative	Inhibitor
T86679	D0J2UW	Investigative	Agonist
T19229	D0UZ9U	Investigative	Modulator
T73725	D06MBI	Patented	Inhibitor
T46685	D06MBI	Patented	Inhibitor
T51282	D03KKR	Investigative	Inhibitor
T83813	D0F5NJ	Investigative	Agonist
T48873	D0F5NJ	Investigative	Antagonist
T32060	D0F5NJ	Investigative	Agonist
T31204	D0F5NJ	Investigative	Agonist
T06273	D0E2VC	Investigative	Inhibitor
T97655	D0Y7VM	Investigative	Inhibitor
T51452	D00WHO	Investigative	Inhibitor
T08910	D00WHO	Investigative	Inhibitor
T62292	D00WHO	Investigative	Inhibitor
T64382	D00WHO	Investigative	Inhibitor
T26368	D00WHO	Investigative	Inhibitor
T51487	D00WHO	Investigative	Inhibitor
T80387	D00WHO	Investigative	Inhibitor
T56175	D0X3GG	Investigative	Inhibitor
T89515	D06YIB	Investigative	Inhibitor
T89515	D0UZ9U	Investigative	Inhibitor
T52227	D0UZ9U	Investigative	Inhibitor
T83875	D00OWF	Patented	Inhibitor
T10265	D0T5PO	Investigative	Inhibitor
T02001	D0T5PO	Investigative	Inhibitor
T07663	D0T5PO	Investigative	Inhibitor
T61744	D0T5PO	Investigative	Inhibitor
T89515	D0B1PE	Investigative	Inhibitor
T68698	D0R2QS	Investigative	Inhibitor
T85943	D0VF6E	Investigative	Inhibitor
T17687	D0VF6E	Investigative	Antagonist
T06031	D0B9BU	Investigative	Inhibitor
T76508	D0B9BU	Investigative	Inhibitor
T20251	D0C9UF	Investigative	Blocker
T43760	D0R2QS	Investigative	Antagonist
T75440	D0VN4K	Investigative	Binder
T65200	D0B4VE	Investigative	Inhibitor
T75440	D0B1PE	Investigative	Binder
T91661	D07OAC	Investigative	Inhibitor
T58454	D0VN4K	Investigative	Binder
T78429	D0E3TC	Investigative	Inhibitor
T88318	D0E3TC	Investigative	Inhibitor
T20401	D0S8RD	Investigative	Inhibitor
T53378	D0S8RD	Investigative	Inhibitor
T13201	D0S8RD	Investigative	Inhibitor
T51408	D0S8RD	Investigative	Agonist
T78709	D0XK0T	Investigative	Antagonist
T77365	D0J2UW	Investigative	Agonist
T64382	D0Z8IJ	Investigative	Agonist
T54128	D0Z8IJ	Investigative	Agonist
T76198	D02IBM	Investigative	Inhibitor
T49898	D00PWQ	Patented	Inhibitor
T70977	D00PWQ	Patented	Inhibitor
T04820	D00PWQ	Patented	Inhibitor
T98459	D00PWQ	Patented	Inhibitor
T20973	D00PWQ	Patented	Inhibitor
T79232	D0I8ZZ	Investigative	Inhibitor
T59045	D00BRD	Patented	Inhibitor
T59045	D0B5YS	Patented	Inhibitor
T13259	D0B5YS	Patented	Inhibitor
T16987	D03SLR	Patented	Inhibitor
T20401	D03SLR	Patented	Inhibitor
T31992	D03SLR	Patented	Inhibitor
T64567	D03SLR	Patented	Inhibitor
T06569	D03SLR	Patented	Inhibitor
T13201	D03SLR	Patented	Inhibitor
T53378	D03SLR	Patented	Inhibitor
T43920	D03SLR	Patented	Inhibitor
T27812	D0F5NJ	Investigative	Inhibitor
T55959	D0F5NJ	Investigative	Inhibitor
T21945	D0F5NJ	Investigative	Inhibitor
T83011	D0B4VE	Investigative	Inhibitor
T46521	D0O4QB	Patented	Inhibitor
